aboard,cn_in,date,fatalities,flight,ground,location,operator,registration,route,summary,time,type
2.0,1,-1934121600,1.0,,0.0,"Fort Myer, Virginia",Military - U.S. Army,,Demonstration,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later.",17:18,Wright Flyer III
5.0,,-1813680000,5.0,,0.0,"AtlantiCity, New Jersey",Military - U.S. Navy,,Test flight,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight.",06:30,Dirigible
1.0,,-1779984000,1.0,-,0.0,"Victoria, British Columbia, Canada",Private,,,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed.",,Curtiss seaplane
20.0,,-1777046400,14.0,,0.0,Over the North Sea,Military - German Navy,,,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.,18:30,Zeppelin L-1 (airship)
30.0,,-1773763200,30.0,,0.0,"Near Johannisthal, Germany",Military - German Navy,,,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..",10:30,Zeppelin L-2 (airship)
41.0,,-1730217600,21.0,,0.0,"Tienen, Belgium",Military - German Navy,,,Crashed into trees while attempting to land after being shot down by British and French aircraft.,01:00,Zeppelin L-8 (airship)
19.0,,-1714492800,19.0,,0.0,"Off Cuxhaven, Germany",Military - German Navy,,,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning.",15:20,Zeppelin L-10 (airship)
20.0,,-1686067200,20.0,,0.0,"Near Jambol, Bulgeria",Military - German Army,,,"Crashed near the Black Sea, cause unknown.",,Schutte-Lanz S-L-10 (airship)
22.0,,-1681056000,22.0,,0.0,"Billericay, England",Military - German Navy,,,Shot down by British aircraft crashing in flames.,01:00,Zeppelin L-32 (airship)
19.0,,-1680451200,19.0,,0.0,"Potters Bar, England",Military - German Navy,,,Shot down in flames by the British 39th Home Defence Squadron.,23:45,Zeppelin L-31 (airship)
28.0,,-1676044800,27.0,,0.0,"Mainz, Germany",Military - German Army,,,Crashed in a storm.,,Super Zeppelin (airship)
20.0,,-1675440000,20.0,,0.0,"Off West Hartlepool, England",Military - German Navy,,,Shot down by British anti-aircraft fire and aircraft and crashed into the North Sea.,23:45,Zeppelin L-34 (airship)
20.0,,-1667145600,20.0,,0.0,"Near Gent, Belgium",Military - German Army,,,Caught fire and crashed.,,Airship
23.0,,-1664899200,23.0,,0.0,Off Northern Germany,Military - German Navy,,,Struck by lightning and crashed into the BaltiSea.,,Schutte-Lanz S-L-9 (airship)
